
> mm-profit@0.1.0 bot
> node bot.js

Target token mint (Gbu7JAKhTVtGyRryg8cYPiKNhonXpUqbrZuCDjfUpump): 2025-12-22 15:38:49 | CONFIG step pct 15,25,60 (total 100%) | alloc 88% -> 0.270361 SOL
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:10:46 | POS    | 1/3    | 0.000084       | 0.000083       | 1.85%      | 0.041058   | -0.000802  | 0.008965   | 0.275136  
2025-12-22 19:10:51 | POS    | 1/3    | 0.000084       | 0.000082       | 2.82%      | 0.042561   | 0.000700   | 0.010468   | 0.275136  
2025-12-22 19:10:57 | POS    | 1/3    | 0.000084       | 0.000082       | 2.59%      | 0.040481   | -0.001379  | 0.008388   | 0.275136  
2025-12-22 19:11:02 | POS    | 1/3    | 0.000084       | 0.000082       | 1.99%      | 0.040688   | -0.001172  | 0.008595   | 0.275136  
2025-12-22 19:11:07 | POS    | 1/3    | 0.000084       | 0.000082       | 2.17%      | 0.040784   | -0.001076  | 0.008691   | 0.275136  
2025-12-22 19:11:13 | POS    | 1/3    | 0.000084       | 0.000083       | 1.51%      | 0.041162   | -0.000698  | 0.009069   | 0.275136  
2025-12-22 19:11:18 | POS    | 1/3    | 0.000084       | 0.000083       | 0.80%      | 0.041263   | -0.000597  | 0.009170   | 0.275136  
2025-12-22 19:11:23 | POS    | 1/3    | 0.000084       | 0.000084       | -0.30%     | 0.041908   | 0.000047   | 0.009815   | 0.275136  
2025-12-22 19:11:29 | POS    | 1/3    | 0.000084       | 0.000082       | 2.48%      | 0.040585   | -0.001275  | 0.008492   | 0.275136  
2025-12-22 19:11:34 | POS    | 1/3    | 0.000084       | 0.000083       | 1.41%      | 0.042561   | 0.000700   | 0.010468   | 0.275136  
2025-12-22 19:11:39 | POS    | 1/3    | 0.000084       | 0.000081       | 3.11%      | 0.041339   | -0.000521  | 0.009246   | 0.275136  
2025-12-22 19:11:45 | POS    | 1/3    | 0.000084       | 0.000084       | 0.49%      | 0.041382   | -0.000478  | 0.009289   | 0.275136  
2025-12-22 19:11:50 | BUY step 2: 0.069739 SOL
2025-12-22 19:11:55 | BUY confirmed: 5G85RhqzbN1wUvdm95pjUeoMai9Q3bKSisMv89gPsy8Qu7TurEoWgMwsCWpahbNPdDU1bp5CLoEtVrJwUsqCxWfC
2025-12-22 19:12:00 | POS    | 2/3    | 0.000081       | 0.000079       | 2.71%      | 0.108215   | -0.003395  | 0.006372   | 0.205386  
2025-12-22 19:12:06 | POS    | 2/3    | 0.000081       | 0.000080       | 1.04%      | 0.110368   | -0.001242  | 0.008526   | 0.205386  
2025-12-22 19:12:11 | POS    | 2/3    | 0.000081       | 0.000080       | 1.31%      | 0.110117   | -0.001493  | 0.008274   | 0.205386  
2025-12-22 19:12:16 | POS    | 2/3    | 0.000081       | 0.000079       | 1.81%      | 0.109463   | -0.002148  | 0.007620   | 0.205386  
2025-12-22 19:12:22 | POS    | 2/3    | 0.000081       | 0.000083       | -2.52%     | 0.109177   | -0.002433  | 0.007334   | 0.205386  
2025-12-22 19:12:27 | POS    | 2/3    | 0.000081       | 0.000079       | 2.11%      | 0.109230   | -0.002380  | 0.007387   | 0.205386  
2025-12-22 19:12:32 | POS    | 2/3    | 0.000081       | 0.000080       | 1.15%      | 0.109860   | -0.001751  | 0.008017   | 0.205386  
2025-12-22 19:12:38 | POS    | 2/3    | 0.000081       | 0.000080       | 1.15%      | 0.109797   | -0.001813  | 0.007954   | 0.205386  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:12:43 | POS    | 2/3    | 0.000081       | 0.000080       | 1.21%      | 0.109797   | -0.001813  | 0.007954   | 0.205386  
2025-12-22 19:12:48 | POS    | 2/3    | 0.000081       | 0.000080       | 0.55%      | 0.110923   | -0.000687  | 0.009080   | 0.205386  
2025-12-22 19:12:54 | POS    | 2/3    | 0.000081       | 0.000080       | 0.44%      | 0.110797   | -0.000814  | 0.008954   | 0.205386  
2025-12-22 19:12:59 | POS    | 2/3    | 0.000081       | 0.000080       | 0.40%      | 0.110771   | -0.000839  | 0.008929   | 0.205386  
2025-12-22 19:13:04 | POS    | 2/3    | 0.000081       | 0.000081       | 0.24%      | 0.110759   | -0.000851  | 0.008916   | 0.205386  
2025-12-22 19:13:10 | POS    | 2/3    | 0.000081       | 0.000081       | -0.08%     | 0.111228   | -0.000382  | 0.009385   | 0.205386  
2025-12-22 19:13:15 | POS    | 2/3    | 0.000081       | 0.000081       | -0.08%     | 0.111216   | -0.000394  | 0.009373   | 0.205386  
2025-12-22 19:13:20 | POS    | 2/3    | 0.000081       | 0.000081       | -0.26%     | 0.111162   | -0.000448  | 0.009319   | 0.205386  
2025-12-22 19:13:26 | POS    | 2/3    | 0.000081       | 0.000082       | -1.00%     | 0.112268   | 0.000656   | 0.010425   | 0.205386  
2025-12-22 19:13:31 | POS    | 2/3    | 0.000081       | 0.000082       | -1.00%     | 0.112262   | 0.000650   | 0.010419   | 0.205386  
2025-12-22 19:13:36 | POS    | 2/3    | 0.000081       | 0.000082       | -0.86%     | 0.112402   | 0.000790   | 0.010559   | 0.205386  
2025-12-22 19:13:42 | POS    | 2/3    | 0.000081       | 0.000082       | -0.87%     | 0.114080   | 0.002468   | 0.012237   | 0.205386  
2025-12-22 19:13:47 | POS    | 2/3    | 0.000081       | 0.000082       | -0.91%     | 0.112483   | 0.000872   | 0.010640   | 0.205386  
2025-12-22 19:13:52 | POS    | 2/3    | 0.000081       | 0.000082       | -1.56%     | 0.112756   | 0.001144   | 0.010913   | 0.205386  
2025-12-22 19:13:58 | POS    | 2/3    | 0.000081       | 0.000082       | -1.62%     | 0.112545   | 0.000933   | 0.010702   | 0.205386  
2025-12-22 19:14:03 | POS    | 2/3    | 0.000081       | 0.000080       | 0.50%      | 0.111508   | -0.000102  | 0.009665   | 0.205386  
2025-12-22 19:14:08 | POS    | 2/3    | 0.000081       | 0.000082       | -0.95%     | 0.111994   | 0.000383   | 0.010151   | 0.205386  
2025-12-22 19:14:14 | POS    | 2/3    | 0.000081       | 0.000082       | -0.95%     | 0.112032   | 0.000421   | 0.010190   | 0.205386  
2025-12-22 19:14:19 | POS    | 2/3    | 0.000081       | 0.000082       | -1.26%     | 0.112431   | 0.000820   | 0.010588   | 0.205386  
2025-12-22 19:14:24 | POS    | 2/3    | 0.000081       | 0.000082       | -1.33%     | 0.112402   | 0.000790   | 0.010559   | 0.205386  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:14:30 | POS    | 2/3    | 0.000081       | 0.000082       | -1.62%     | 0.112760   | 0.001149   | 0.010917   | 0.205386  
2025-12-22 19:14:35 | POS    | 2/3    | 0.000081       | 0.000080       | 0.48%      | 0.110852   | -0.000758  | 0.009009   | 0.205386  
2025-12-22 19:14:40 | POS    | 2/3    | 0.000081       | 0.000081       | 0.24%      | 0.110602   | -0.001008  | 0.008759   | 0.205386  
2025-12-22 19:14:46 | POS    | 2/3    | 0.000081       | 0.000080       | 0.69%      | 0.110407   | -0.001203  | 0.008564   | 0.205386  
2025-12-22 19:14:51 | POS    | 2/3    | 0.000081       | 0.000080       | 1.59%      | 0.109656   | -0.001955  | 0.007813   | 0.205386  
2025-12-22 19:14:56 | POS    | 2/3    | 0.000081       | 0.000079       | 1.63%      | 0.109488   | -0.002122  | 0.007645   | 0.205386  
2025-12-22 19:15:02 | POS    | 2/3    | 0.000081       | 0.000080       | 1.54%      | 0.109488   | -0.002122  | 0.007645   | 0.205386  
2025-12-22 19:15:07 | POS    | 2/3    | 0.000081       | 0.000080       | 1.19%      | 0.109969   | -0.001641  | 0.008126   | 0.205386  
2025-12-22 19:15:12 | POS    | 2/3    | 0.000081       | 0.000080       | 1.19%      | 0.109619   | -0.001991  | 0.007776   | 0.205386  
2025-12-22 19:15:18 | POS    | 2/3    | 0.000081       | 0.000080       | 1.42%      | 0.109520   | -0.002090  | 0.007677   | 0.205386  
2025-12-22 19:15:23 | POS    | 2/3    | 0.000081       | 0.000080       | 1.38%      | 0.109543   | -0.002067  | 0.007700   | 0.205386  
2025-12-22 19:15:28 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109543   | -0.002067  | 0.007700   | 0.205386  
2025-12-22 19:15:34 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109547   | -0.002064  | 0.007704   | 0.205386  
